Rate ($/kg),Protein Source,Protein (g per 100g),Calories (kcal per 100g)
5.77,Peanut Butter,25,588
39.18,Chicken Breast,31,165
27.69,Salmon,25,208
20.28,Lentils,9,116
39.92,Salmon,25,208
21.0,Whey Protein,80,400
12.68,Chicken Breast,31,165
18.75,Greek Yogurt,10,59
11.86,Greek Yogurt,10,59
33.03,Salmon,25,208
19.87,Eggs,13,155
10.87,Eggs,13,155
16.86,Beef,27,250
14.0,Whey Protein,80,400
37.28,Salmon,25,208
20.86,Whey Protein,80,400
30.55,Lentils,9,116
35.11,Eggs,13,155
12.99,Almonds,21,579
10.97,Beef,27,250
15.12,Greek Yogurt,10,59
9.17,Whey Protein,80,400
23.23,Chicken Breast,31,165
31.52,Lentils,9,116
32.21,Tofu,8,76
21.52,Chicken Breast,31,165
16.09,Chicken Breast,31,165
14.41,Tofu,8,76
43.39,Whey Protein,80,400
32.4,Peanut Butter,25,588
20.67,Almonds,21,579
12.55,Tofu,8,76
48.38,Salmon,25,208
28.79,Eggs,13,155
18.13,Peanut Butter,25,588
18.8,Tofu,8,76
46.7,Greek Yogurt,10,59
48.48,Tofu,8,76
9.64,Eggs,13,155
12.93,Eggs,13,155
25.03,Beef,27,250
48.55,Greek Yogurt,10,59
5.28,Whey Protein,80,400
47.42,Tofu,8,76
17.51,Beef,27,250
31.07,Beef,27,250
24.16,Beef,27,250
32.92,Tofu,8,76
25.35,Eggs,13,155
24.53,Tofu,8,76
35.86,Lentils,9,116
11.47,Lentils,9,116
43.36,Whey Protein,80,400
25.61,Lentils,9,116
41.76,Salmon,25,208
25.85,Salmon,25,208
12.38,Lentils,9,116
10.44,Salmon,25,208
25.17,Lentils,9,116
44.17,Whey Protein,80,400
12.71,Eggs,13,155
15.18,Chicken Breast,31,165
42.39,Peanut Butter,25,588
14.39,Lentils,9,116
32.15,Peanut Butter,25,588
19.36,Greek Yogurt,10,59
9.56,Beef,27,250
48.16,Whey Protein,80,400
47.39,Beef,27,250
10.95,Greek Yogurt,10,59
11.12,Eggs,13,155
35.51,Chicken Breast,31,165
9.11,Peanut Butter,25,588
20.84,Tofu,8,76
15.78,Almonds,21,579
44.69,Almonds,21,579
41.6,Eggs,13,155
16.79,Salmon,25,208
44.16,Eggs,13,155
44.21,Salmon,25,208
15.18,Whey Protein,80,400
49.76,Tofu,8,76
41.73,Eggs,13,155
25.47,Salmon,25,208
11.7,Beef,27,250
33.34,Greek Yogurt,10,59
46.46,Beef,27,250
37.29,Greek Yogurt,10,59
46.56,Chicken Breast,31,165
49.4,Whey Protein,80,400
42.05,Eggs,13,155
48.47,Beef,27,250
47.68,Greek Yogurt,10,59
49.45,Whey Protein,80,400
19.06,Almonds,21,579
18.65,Whey Protein,80,400
49.02,Beef,27,250
29.96,Peanut Butter,25,588
33.56,Almonds,21,579
35.61,Beef,27,250
48.24,Tofu,8,76
33.79,Chicken Breast,31,165
34.2,Whey Protein,80,400
47.04,Almonds,21,579
6.99,Salmon,25,208
19.2,Greek Yogurt,10,59
12.54,Eggs,13,155
40.9,Lentils,9,116
5.99,Lentils,9,116
46.03,Lentils,9,116
38.71,Eggs,13,155
14.12,Eggs,13,155
7.22,Tofu,8,76
20.81,Beef,27,250
48.21,Tofu,8,76
30.5,Tofu,8,76
8.07,Beef,27,250
6.0,Peanut Butter,25,588
21.54,Chicken Breast,31,165
18.39,Tofu,8,76
31.04,Whey Protein,80,400
23.19,Almonds,21,579
10.01,Lentils,9,116
33.55,Peanut Butter,25,588
48.36,Greek Yogurt,10,59
32.78,Peanut Butter,25,588
32.63,Tofu,8,76
42.16,Peanut Butter,25,588
16.28,Salmon,25,208
35.46,Salmon,25,208
28.42,Whey Protein,80,400
39.12,Chicken Breast,31,165
49.24,Lentils,9,116
17.48,Lentils,9,116
15.28,Eggs,13,155
49.51,Greek Yogurt,10,59
13.77,Chicken Breast,31,165
41.81,Tofu,8,76
27.06,Beef,27,250
34.12,Salmon,25,208
43.21,Salmon,25,208
26.07,Salmon,25,208
35.13,Chicken Breast,31,165
20.42,Greek Yogurt,10,59
28.22,Greek Yogurt,10,59
18.71,Beef,27,250
40.84,Beef,27,250
20.67,Eggs,13,155
37.79,Chicken Breast,31,165
43.02,Eggs,13,155
41.04,Salmon,25,208
27.18,Tofu,8,76
41.19,Eggs,13,155
24.35,Eggs,13,155
22.03,Lentils,9,116
7.0,Chicken Breast,31,165
34.75,Whey Protein,80,400
9.95,Peanut Butter,25,588
27.72,Whey Protein,80,400
19.95,Tofu,8,76
36.94,Eggs,13,155
6.66,Peanut Butter,25,588
7.6,Whey Protein,80,400
36.48,Peanut Butter,25,588
49.16,Greek Yogurt,10,59
18.67,Salmon,25,208
5.4,Salmon,25,208
46.53,Almonds,21,579
19.2,Lentils,9,116
39.11,Almonds,21,579
49.34,Beef,27,250
7.71,Tofu,8,76
13.02,Tofu,8,76
39.08,Salmon,25,208
10.33,Greek Yogurt,10,59
5.79,Peanut Butter,25,588
45.77,Almonds,21,579
49.87,Beef,27,250
9.22,Chicken Breast,31,165
24.65,Salmon,25,208
46.34,Greek Yogurt,10,59
31.72,Eggs,13,155
31.65,Salmon,25,208
19.48,Almonds,21,579
42.35,Beef,27,250
18.75,Salmon,25,208
9.72,Chicken Breast,31,165
18.7,Lentils,9,116
24.56,Peanut Butter,25,588
23.6,Greek Yogurt,10,59
41.4,Lentils,9,116
18.95,Eggs,13,155
12.21,Lentils,9,116
44.94,Peanut Butter,25,588
23.74,Peanut Butter,25,588
43.77,Tofu,8,76
36.9,Tofu,8,76
7.32,Eggs,13,155
15.3,Chicken Breast,31,165
29.69,Peanut Butter,25,588
47.25,Eggs,13,155
18.31,Lentils,9,116
26.19,Eggs,13,155
19.84,Chicken Breast,31,165
37.05,Tofu,8,76
49.05,Eggs,13,155
34.84,Greek Yogurt,10,59
24.38,Peanut Butter,25,588
47.6,Whey Protein,80,400
21.39,Salmon,25,208
18.23,Tofu,8,76
41.23,Whey Protein,80,400
48.4,Peanut Butter,25,588
22.29,Almonds,21,579
44.87,Lentils,9,116
14.21,Greek Yogurt,10,59
31.38,Almonds,21,579
30.88,Eggs,13,155
5.08,Peanut Butter,25,588
25.08,Salmon,25,208
20.11,Peanut Butter,25,588
36.85,Chicken Breast,31,165
26.8,Greek Yogurt,10,59
34.34,Lentils,9,116
16.01,Greek Yogurt,10,59
29.88,Greek Yogurt,10,59
38.45,Tofu,8,76
26.17,Tofu,8,76
9.12,Peanut Butter,25,588
42.39,Eggs,13,155
16.55,Peanut Butter,25,588
14.88,Peanut Butter,25,588
45.82,Tofu,8,76
42.95,Whey Protein,80,400
22.59,Chicken Breast,31,165
18.12,Salmon,25,208
36.41,Almonds,21,579
23.07,Beef,27,250
41.27,Almonds,21,579
22.78,Salmon,25,208
48.35,Eggs,13,155
22.02,Tofu,8,76
7.96,Beef,27,250
41.77,Almonds,21,579
27.37,Beef,27,250
18.35,Salmon,25,208
39.06,Chicken Breast,31,165
9.78,Salmon,25,208
48.83,Beef,27,250
12.65,Lentils,9,116
11.59,Lentils,9,116
25.06,Salmon,25,208
15.18,Chicken Breast,31,165
13.4,Beef,27,250
26.63,Lentils,9,116
9.0,Beef,27,250
48.04,Salmon,25,208
44.97,Whey Protein,80,400
23.09,Lentils,9,116
9.29,Lentils,9,116
43.0,Salmon,25,208
27.54,Salmon,25,208
13.72,Lentils,9,116
27.02,Chicken Breast,31,165
11.6,Chicken Breast,31,165
45.0,Salmon,25,208
32.98,Lentils,9,116
42.39,Greek Yogurt,10,59
21.25,Almonds,21,579
23.06,Tofu,8,76
21.77,Lentils,9,116
42.5,Tofu,8,76
25.77,Whey Protein,80,400
40.72,Salmon,25,208
17.57,Almonds,21,579
20.51,Chicken Breast,31,165
16.38,Salmon,25,208
46.47,Greek Yogurt,10,59
11.1,Chicken Breast,31,165
10.46,Whey Protein,80,400
17.5,Eggs,13,155
20.18,Salmon,25,208
26.41,Peanut Butter,25,588
9.85,Salmon,25,208
25.1,Beef,27,250
42.86,Chicken Breast,31,165
40.08,Salmon,25,208
49.9,Whey Protein,80,400
21.97,Greek Yogurt,10,59
14.54,Beef,27,250
40.21,Almonds,21,579
5.78,Tofu,8,76
31.58,Eggs,13,155
38.1,Whey Protein,80,400
24.69,Lentils,9,116
11.12,Greek Yogurt,10,59
36.39,Beef,27,250
38.11,Chicken Breast,31,165
18.37,Lentils,9,116
16.27,Greek Yogurt,10,59
35.56,Chicken Breast,31,165
18.9,Salmon,25,208
13.83,Chicken Breast,31,165
13.8,Almonds,21,579
46.6,Tofu,8,76
11.44,Beef,27,250
42.66,Salmon,25,208
6.56,Greek Yogurt,10,59
49.68,Peanut Butter,25,588
22.89,Whey Protein,80,400
29.02,Salmon,25,208
14.94,Lentils,9,116
10.32,Whey Protein,80,400
42.52,Whey Protein,80,400
6.37,Eggs,13,155
14.54,Chicken Breast,31,165
39.14,Greek Yogurt,10,59
11.86,Tofu,8,76
42.42,Whey Protein,80,400
31.48,Almonds,21,579
21.9,Lentils,9,116
40.34,Beef,27,250
22.27,Greek Yogurt,10,59
37.31,Almonds,21,579
22.33,Almonds,21,579
41.67,Peanut Butter,25,588
12.69,Lentils,9,116
23.37,Chicken Breast,31,165
6.85,Eggs,13,155
44.88,Whey Protein,80,400
29.05,Greek Yogurt,10,59
35.12,Tofu,8,76
41.43,Greek Yogurt,10,59
46.05,Peanut Butter,25,588
41.96,Eggs,13,155
20.55,Lentils,9,116
49.74,Eggs,13,155
35.12,Eggs,13,155
7.29,Lentils,9,116
29.46,Chicken Breast,31,165
10.75,Chicken Breast,31,165
40.33,Greek Yogurt,10,59
26.71,Eggs,13,155
46.39,Lentils,9,116
38.86,Eggs,13,155
49.13,Peanut Butter,25,588
16.42,Salmon,25,208
36.67,Lentils,9,116
41.13,Whey Protein,80,400
23.95,Chicken Breast,31,165
40.01,Salmon,25,208
23.12,Chicken Breast,31,165
15.89,Beef,27,250
29.58,Chicken Breast,31,165
30.5,Eggs,13,155
14.42,Eggs,13,155
18.99,Eggs,13,155
16.11,Beef,27,250
25.77,Greek Yogurt,10,59
13.99,Lentils,9,116
16.48,Eggs,13,155
32.04,Tofu,8,76
16.3,Lentils,9,116
44.89,Salmon,25,208
23.79,Peanut Butter,25,588
23.51,Lentils,9,116
15.47,Greek Yogurt,10,59
13.97,Almonds,21,579
13.2,Chicken Breast,31,165
13.89,Greek Yogurt,10,59
14.02,Chicken Breast,31,165
31.45,Greek Yogurt,10,59
28.93,Beef,27,250
49.99,Beef,27,250
32.13,Salmon,25,208
39.63,Eggs,13,155
48.38,Greek Yogurt,10,59
10.04,Lentils,9,116
37.72,Eggs,13,155
9.95,Peanut Butter,25,588
15.14,Almonds,21,579
30.95,Almonds,21,579
24.82,Eggs,13,155
26.1,Salmon,25,208
49.29,Almonds,21,579
13.65,Eggs,13,155
29.38,Beef,27,250
12.08,Greek Yogurt,10,59
40.44,Greek Yogurt,10,59
6.35,Peanut Butter,25,588
17.2,Lentils,9,116
43.83,Eggs,13,155
21.0,Peanut Butter,25,588
23.46,Peanut Butter,25,588
22.74,Greek Yogurt,10,59
33.48,Tofu,8,76
34.22,Beef,27,250
24.53,Almonds,21,579
13.25,Chicken Breast,31,165
8.28,Peanut Butter,25,588
40.93,Greek Yogurt,10,59
11.46,Eggs,13,155
29.2,Chicken Breast,31,165
32.57,Chicken Breast,31,165
24.89,Greek Yogurt,10,59
37.75,Lentils,9,116
14.47,Chicken Breast,31,165
47.84,Chicken Breast,31,165
35.8,Whey Protein,80,400
39.89,Lentils,9,116
46.38,Beef,27,250
43.82,Chicken Breast,31,165
48.54,Tofu,8,76
5.69,Tofu,8,76
6.29,Greek Yogurt,10,59
6.25,Almonds,21,579
16.85,Peanut Butter,25,588
47.93,Lentils,9,116
41.11,Whey Protein,80,400
18.7,Salmon,25,208
37.77,Lentils,9,116
22.45,Lentils,9,116
21.81,Salmon,25,208
47.39,Chicken Breast,31,165
14.91,Tofu,8,76
25.74,Eggs,13,155
12.45,Beef,27,250
13.89,Salmon,25,208
19.54,Salmon,25,208
49.59,Tofu,8,76
10.11,Almonds,21,579
43.31,Beef,27,250
6.97,Lentils,9,116
39.76,Beef,27,250
49.69,Tofu,8,76
8.32,Chicken Breast,31,165
6.58,Chicken Breast,31,165
8.18,Greek Yogurt,10,59
39.9,Lentils,9,116
35.09,Peanut Butter,25,588
27.49,Almonds,21,579
7.11,Whey Protein,80,400
21.31,Greek Yogurt,10,59
30.42,Tofu,8,76
39.4,Beef,27,250
12.72,Peanut Butter,25,588
32.63,Almonds,21,579
29.25,Almonds,21,579
37.86,Almonds,21,579
27.98,Whey Protein,80,400
29.69,Salmon,25,208
37.43,Lentils,9,116
39.48,Chicken Breast,31,165
12.79,Greek Yogurt,10,59
20.46,Peanut Butter,25,588
28.07,Greek Yogurt,10,59
7.61,Greek Yogurt,10,59
49.77,Chicken Breast,31,165
40.19,Lentils,9,116
46.13,Beef,27,250
36.15,Greek Yogurt,10,59
41.06,Greek Yogurt,10,59
22.23,Lentils,9,116
5.85,Almonds,21,579
23.5,Almonds,21,579
15.38,Almonds,21,579
17.58,Eggs,13,155
11.37,Eggs,13,155
10.73,Almonds,21,579
6.18,Peanut Butter,25,588
29.73,Whey Protein,80,400
28.27,Eggs,13,155
42.95,Salmon,25,208
26.87,Chicken Breast,31,165
40.32,Salmon,25,208
32.52,Eggs,13,155
40.48,Salmon,25,208
25.2,Beef,27,250
48.63,Greek Yogurt,10,59
45.34,Lentils,9,116
29.17,Chicken Breast,31,165
32.94,Peanut Butter,25,588
37.4,Tofu,8,76
46.26,Chicken Breast,31,165
23.34,Salmon,25,208
41.19,Almonds,21,579
17.35,Eggs,13,155
27.01,Tofu,8,76
44.25,Tofu,8,76
35.31,Beef,27,250
11.62,Almonds,21,579
23.2,Peanut Butter,25,588
25.8,Almonds,21,579
47.86,Salmon,25,208
47.78,Chicken Breast,31,165
42.8,Peanut Butter,25,588
29.87,Salmon,25,208
7.26,Tofu,8,76
20.18,Whey Protein,80,400
6.59,Lentils,9,116
22.89,Lentils,9,116
5.3,Salmon,25,208
24.94,Chicken Breast,31,165
14.13,Whey Protein,80,400
37.19,Eggs,13,155
28.3,Peanut Butter,25,588
38.74,Whey Protein,80,400
38.1,Greek Yogurt,10,59
6.45,Eggs,13,155
42.47,Peanut Butter,25,588
48.52,Almonds,21,579
32.57,Lentils,9,116
33.99,Chicken Breast,31,165
18.4,Eggs,13,155
38.82,Lentils,9,116
42.02,Salmon,25,208
25.93,Salmon,25,208
17.77,Peanut Butter,25,588
47.33,Salmon,25,208
20.05,Chicken Breast,31,165
37.95,Lentils,9,116
11.18,Lentils,9,116
41.57,Whey Protein,80,400
48.71,Greek Yogurt,10,59
26.81,Eggs,13,155
46.46,Beef,27,250
26.15,Greek Yogurt,10,59
48.15,Chicken Breast,31,165
33.04,Lentils,9,116
19.03,Peanut Butter,25,588
11.48,Tofu,8,76
21.75,Almonds,21,579
47.81,Whey Protein,80,400
40.68,Greek Yogurt,10,59
29.81,Peanut Butter,25,588
45.27,Whey Protein,80,400
27.77,Almonds,21,579
5.33,Almonds,21,579
8.82,Salmon,25,208
24.81,Whey Protein,80,400
13.44,Eggs,13,155
26.16,Almonds,21,579
28.91,Whey Protein,80,400
17.93,Eggs,13,155
22.2,Greek Yogurt,10,59
43.61,Tofu,8,76
12.47,Peanut Butter,25,588
33.36,Lentils,9,116
24.27,Salmon,25,208
6.41,Lentils,9,116
12.96,Peanut Butter,25,588
13.25,Tofu,8,76
18.0,Eggs,13,155
36.62,Chicken Breast,31,165
7.7,Whey Protein,80,400
11.97,Eggs,13,155
5.25,Salmon,25,208
6.23,Eggs,13,155
32.87,Beef,27,250
14.55,Almonds,21,579
29.84,Tofu,8,76
41.23,Greek Yogurt,10,59
39.91,Whey Protein,80,400
7.12,Greek Yogurt,10,59
20.75,Salmon,25,208
49.15,Tofu,8,76
14.91,Greek Yogurt,10,59
13.72,Eggs,13,155
46.36,Almonds,21,579
44.11,Greek Yogurt,10,59
11.12,Tofu,8,76
46.2,Peanut Butter,25,588
29.93,Salmon,25,208
13.51,Eggs,13,155
49.57,Salmon,25,208
42.82,Greek Yogurt,10,59
39.65,Almonds,21,579
23.34,Whey Protein,80,400
37.19,Salmon,25,208
26.38,Peanut Butter,25,588
6.11,Lentils,9,116
31.83,Almonds,21,579
22.29,Almonds,21,579
42.29,Eggs,13,155
10.86,Greek Yogurt,10,59
25.59,Eggs,13,155
32.74,Chicken Breast,31,165
35.69,Whey Protein,80,400
42.33,Greek Yogurt,10,59
40.14,Tofu,8,76
8.24,Salmon,25,208
26.51,Salmon,25,208
45.78,Tofu,8,76
16.06,Almonds,21,579
26.57,Lentils,9,116
21.4,Almonds,21,579
18.08,Lentils,9,116
36.1,Greek Yogurt,10,59
21.08,Eggs,13,155
35.89,Whey Protein,80,400
9.33,Eggs,13,155
37.59,Salmon,25,208
28.6,Almonds,21,579
30.16,Eggs,13,155
49.81,Tofu,8,76
43.42,Greek Yogurt,10,59
46.18,Whey Protein,80,400
5.05,Almonds,21,579
35.92,Eggs,13,155
7.51,Tofu,8,76
47.73,Whey Protein,80,400
23.25,Salmon,25,208
14.78,Almonds,21,579
19.24,Whey Protein,80,400
41.21,Beef,27,250
21.55,Beef,27,250
24.31,Eggs,13,155
26.12,Chicken Breast,31,165
25.32,Whey Protein,80,400
18.33,Whey Protein,80,400
41.25,Peanut Butter,25,588
49.55,Greek Yogurt,10,59
18.79,Almonds,21,579
41.34,Salmon,25,208
48.14,Lentils,9,116
19.37,Tofu,8,76
10.33,Eggs,13,155
44.46,Almonds,21,579
29.69,Lentils,9,116
16.75,Eggs,13,155
25.15,Greek Yogurt,10,59
8.03,Chicken Breast,31,165
17.27,Salmon,25,208
25.49,Salmon,25,208
44.63,Whey Protein,80,400
5.33,Chicken Breast,31,165
35.03,Peanut Butter,25,588
13.04,Whey Protein,80,400
42.27,Beef,27,250
30.04,Chicken Breast,31,165
22.02,Peanut Butter,25,588
22.23,Whey Protein,80,400
20.79,Peanut Butter,25,588
39.27,Whey Protein,80,400
16.3,Salmon,25,208
22.37,Tofu,8,76
35.05,Beef,27,250
48.96,Almonds,21,579
14.57,Beef,27,250
19.21,Beef,27,250
8.12,Whey Protein,80,400
14.35,Almonds,21,579
34.77,Almonds,21,579
29.92,Peanut Butter,25,588
7.91,Tofu,8,76
20.75,Whey Protein,80,400
36.39,Peanut Butter,25,588
46.41,Whey Protein,80,400
16.43,Eggs,13,155
10.08,Eggs,13,155
22.29,Chicken Breast,31,165
38.03,Beef,27,250
35.93,Tofu,8,76
28.87,Almonds,21,579
8.39,Greek Yogurt,10,59
37.71,Chicken Breast,31,165
48.58,Beef,27,250
44.14,Greek Yogurt,10,59
39.59,Eggs,13,155
25.15,Tofu,8,76
18.34,Salmon,25,208
34.45,Whey Protein,80,400
27.25,Greek Yogurt,10,59
16.14,Almonds,21,579
28.77,Salmon,25,208
21.61,Greek Yogurt,10,59
39.66,Tofu,8,76
14.53,Peanut Butter,25,588
12.07,Salmon,25,208
40.09,Lentils,9,116
29.41,Eggs,13,155
43.88,Eggs,13,155
49.63,Almonds,21,579
46.94,Chicken Breast,31,165
46.11,Tofu,8,76
6.19,Beef,27,250
11.02,Salmon,25,208
45.21,Almonds,21,579
34.13,Greek Yogurt,10,59
10.76,Peanut Butter,25,588
43.35,Almonds,21,579
32.56,Lentils,9,116
33.72,Beef,27,250
22.09,Whey Protein,80,400
43.57,Whey Protein,80,400
28.41,Eggs,13,155
42.08,Lentils,9,116
27.59,Chicken Breast,31,165
33.09,Eggs,13,155
29.02,Lentils,9,116
29.7,Eggs,13,155
41.7,Lentils,9,116
36.66,Eggs,13,155
49.43,Peanut Butter,25,588
9.49,Lentils,9,116
23.91,Almonds,21,579
24.29,Salmon,25,208
40.02,Greek Yogurt,10,59
22.43,Peanut Butter,25,588
15.2,Chicken Breast,31,165
22.26,Lentils,9,116
12.59,Eggs,13,155
21.17,Beef,27,250
40.92,Chicken Breast,31,165
42.48,Beef,27,250
46.0,Peanut Butter,25,588
47.33,Salmon,25,208
29.89,Beef,27,250
38.2,Almonds,21,579
44.56,Lentils,9,116
13.5,Tofu,8,76
39.57,Greek Yogurt,10,59
26.78,Lentils,9,116
11.78,Peanut Butter,25,588
14.7,Almonds,21,579
35.45,Greek Yogurt,10,59
24.34,Tofu,8,76
19.79,Whey Protein,80,400
17.83,Tofu,8,76
44.75,Lentils,9,116
32.92,Tofu,8,76
36.74,Eggs,13,155
38.74,Eggs,13,155
43.72,Eggs,13,155
25.45,Greek Yogurt,10,59
17.66,Greek Yogurt,10,59
41.74,Almonds,21,579
20.81,Greek Yogurt,10,59
39.0,Salmon,25,208
21.99,Peanut Butter,25,588
12.12,Beef,27,250
38.54,Peanut Butter,25,588
38.36,Eggs,13,155
42.73,Greek Yogurt,10,59
28.47,Greek Yogurt,10,59
36.23,Salmon,25,208
13.82,Lentils,9,116
6.6,Peanut Butter,25,588
43.0,Whey Protein,80,400
40.2,Chicken Breast,31,165
20.95,Peanut Butter,25,588
41.98,Greek Yogurt,10,59
46.32,Peanut Butter,25,588
47.5,Eggs,13,155
23.88,Peanut Butter,25,588
30.21,Tofu,8,76
47.5,Whey Protein,80,400
12.27,Greek Yogurt,10,59
23.9,Lentils,9,116
27.52,Almonds,21,579
38.64,Tofu,8,76
46.34,Whey Protein,80,400
42.93,Tofu,8,76
38.89,Salmon,25,208
47.31,Beef,27,250
31.11,Salmon,25,208
36.72,Beef,27,250
21.8,Greek Yogurt,10,59
35.24,Salmon,25,208
20.36,Lentils,9,116
39.64,Lentils,9,116
23.2,Chicken Breast,31,165
35.62,Eggs,13,155
39.63,Chicken Breast,31,165
9.43,Almonds,21,579
23.7,Salmon,25,208
44.96,Almonds,21,579
9.55,Chicken Breast,31,165
35.41,Peanut Butter,25,588
8.05,Almonds,21,579
6.7,Salmon,25,208
26.37,Greek Yogurt,10,59
37.77,Beef,27,250
42.65,Salmon,25,208
24.88,Eggs,13,155
11.91,Lentils,9,116
31.91,Almonds,21,579
5.22,Beef,27,250
37.17,Chicken Breast,31,165
20.05,Beef,27,250
19.9,Beef,27,250
29.76,Almonds,21,579
27.23,Peanut Butter,25,588
13.22,Chicken Breast,31,165
15.06,Salmon,25,208
15.44,Whey Protein,80,400
16.25,Lentils,9,116
48.9,Whey Protein,80,400
5.49,Eggs,13,155
25.89,Tofu,8,76
18.04,Peanut Butter,25,588
11.46,Eggs,13,155
36.05,Salmon,25,208
13.28,Almonds,21,579
38.51,Eggs,13,155
9.58,Greek Yogurt,10,59
41.77,Beef,27,250
16.26,Chicken Breast,31,165
10.78,Salmon,25,208
49.12,Greek Yogurt,10,59
28.99,Chicken Breast,31,165
17.18,Almonds,21,579
19.12,Almonds,21,579
8.18,Chicken Breast,31,165
17.34,Salmon,25,208
46.07,Eggs,13,155
6.7,Greek Yogurt,10,59
20.48,Tofu,8,76
18.53,Almonds,21,579
44.68,Whey Protein,80,400
44.11,Lentils,9,116
25.51,Greek Yogurt,10,59
45.5,Beef,27,250
29.29,Tofu,8,76
12.8,Chicken Breast,31,165
47.74,Tofu,8,76
44.62,Eggs,13,155
12.23,Whey Protein,80,400
20.48,Salmon,25,208
28.45,Peanut Butter,25,588
16.06,Tofu,8,76
19.22,Peanut Butter,25,588
44.1,Chicken Breast,31,165
36.15,Peanut Butter,25,588
12.36,Eggs,13,155
11.1,Lentils,9,116
41.83,Beef,27,250
37.15,Beef,27,250
32.72,Tofu,8,76
8.53,Greek Yogurt,10,59
24.67,Chicken Breast,31,165
20.79,Greek Yogurt,10,59
45.81,Chicken Breast,31,165
11.67,Tofu,8,76
17.84,Salmon,25,208
20.23,Almonds,21,579
48.39,Almonds,21,579
49.44,Lentils,9,116
41.39,Eggs,13,155
44.91,Beef,27,250
18.19,Beef,27,250
42.78,Eggs,13,155
13.2,Eggs,13,155
35.11,Lentils,9,116
9.09,Whey Protein,80,400
15.14,Greek Yogurt,10,59
45.43,Eggs,13,155
39.31,Peanut Butter,25,588
27.72,Salmon,25,208
20.11,Tofu,8,76
43.34,Beef,27,250
11.6,Beef,27,250
26.93,Salmon,25,208
26.28,Lentils,9,116
15.51,Beef,27,250
25.37,Salmon,25,208
28.52,Lentils,9,116
13.65,Lentils,9,116
35.85,Chicken Breast,31,165
42.15,Peanut Butter,25,588
9.93,Chicken Breast,31,165
10.58,Lentils,9,116
29.25,Beef,27,250
8.56,Tofu,8,76
36.36,Eggs,13,155
26.27,Salmon,25,208
21.75,Almonds,21,579
5.88,Eggs,13,155
19.12,Peanut Butter,25,588
42.69,Peanut Butter,25,588
30.27,Beef,27,250
15.77,Greek Yogurt,10,59
29.36,Eggs,13,155
37.45,Eggs,13,155
49.04,Eggs,13,155
29.92,Greek Yogurt,10,59
49.21,Tofu,8,76
41.05,Salmon,25,208
16.55,Chicken Breast,31,165
45.53,Whey Protein,80,400
25.64,Chicken Breast,31,165
39.03,Salmon,25,208
24.57,Eggs,13,155
36.16,Beef,27,250
42.35,Tofu,8,76
17.64,Beef,27,250
18.35,Whey Protein,80,400
44.29,Beef,27,250
16.37,Lentils,9,116
31.81,Tofu,8,76
6.47,Eggs,13,155
10.81,Peanut Butter,25,588
35.88,Peanut Butter,25,588
24.96,Whey Protein,80,400
15.22,Whey Protein,80,400
9.51,Beef,27,250
19.33,Salmon,25,208
26.35,Tofu,8,76
20.02,Beef,27,250
14.81,Whey Protein,80,400
22.65,Whey Protein,80,400
27.8,Almonds,21,579
9.01,Greek Yogurt,10,59
32.38,Almonds,21,579
24.36,Beef,27,250
19.37,Whey Protein,80,400
5.46,Beef,27,250
22.24,Salmon,25,208
26.94,Salmon,25,208
34.12,Peanut Butter,25,588
34.46,Peanut Butter,25,588
37.92,Almonds,21,579
17.49,Chicken Breast,31,165
40.82,Greek Yogurt,10,59
37.18,Lentils,9,116
30.23,Beef,27,250
28.07,Salmon,25,208
10.75,Greek Yogurt,10,59
28.37,Greek Yogurt,10,59
28.23,Salmon,25,208
36.06,Greek Yogurt,10,59
27.1,Lentils,9,116
48.99,Eggs,13,155
37.99,Whey Protein,80,400
5.24,Lentils,9,116
23.71,Eggs,13,155
23.94,Salmon,25,208
40.39,Almonds,21,579
25.66,Greek Yogurt,10,59
12.64,Tofu,8,76
27.66,Eggs,13,155
6.47,Greek Yogurt,10,59
27.53,Salmon,25,208
43.58,Peanut Butter,25,588
30.9,Tofu,8,76
37.34,Almonds,21,579
6.47,Whey Protein,80,400
47.72,Salmon,25,208
45.57,Eggs,13,155
45.44,Tofu,8,76
9.53,Peanut Butter,25,588
24.82,Almonds,21,579
45.27,Greek Yogurt,10,59
16.54,Greek Yogurt,10,59
35.9,Tofu,8,76
35.34,Whey Protein,80,400
21.3,Salmon,25,208
13.3,Tofu,8,76
26.48,Salmon,25,208
31.61,Salmon,25,208
7.33,Chicken Breast,31,165
19.68,Lentils,9,116
20.8,Lentils,9,116
23.82,Tofu,8,76
16.4,Almonds,21,579
5.05,Eggs,13,155
43.87,Beef,27,250
48.47,Almonds,21,579
33.21,Chicken Breast,31,165
43.52,Beef,27,250
39.88,Lentils,9,116
42.0,Peanut Butter,25,588
25.32,Peanut Butter,25,588
22.54,Almonds,21,579
41.15,Chicken Breast,31,165
17.79,Chicken Breast,31,165
33.07,Beef,27,250
48.63,Lentils,9,116
43.1,Whey Protein,80,400
25.44,Greek Yogurt,10,59
25.33,Almonds,21,579
28.56,Peanut Butter,25,588
46.93,Eggs,13,155
17.03,Whey Protein,80,400
9.33,Salmon,25,208
10.82,Almonds,21,579
31.35,Tofu,8,76
8.57,Greek Yogurt,10,59
36.92,Whey Protein,80,400
27.98,Eggs,13,155
13.09,Beef,27,250
